date,headline
20091028,Sensex sheds 387 on selling spree
20091028,Sensex slips to over 6-week low at 16;283 points
20091029,Sensex dips below 16;000 level
20091029,Sensex plunges by 230 pts on rising inflation; easing exports
20091029,Sensex plunges by 230 pts on rising inflation; easing exports
20091029,Sensex plunges by 230 pts on rising inflation; easing exports
20091030,Sensex in correction mode
20091030,Sensex jumps 300 points in opening trade on global cues
20091030,Sensex dips below 16;000; RIL takes a hit
20091030,Sensex dips below 16;000; RIL takes a hit
20091103,Is sensex entering a corrective zone?
20091103,Is Sensex entering a corrective zone?
20091103,Sensex down 491 points; hits Sept 3 low
20091103,Sensex down 491 points; hits Sept 3 low
20091104,Sensex plummets 491 points
20091104,Sensex records biggest 5-month gain; up 500 pts
20091104,Sensex records biggest 5-month gain
20091105,Sensex bounces back; up 507
20091105,Sensex down 184 pts in opening trade on Asian cues
20091105,Sensex plunges 347 pts on funds selling; weak Asian cues
20091105,Sensex up 152 pts after a day of lows and highs
20091105,Sensex up 152 pts after a day of lows and highs
20091106,Sensex regains 16k mark
20091106,Sensex surges 208 points in opening trade
20091106,Sensex volatile; realty; metals lend support
20091106,Markets remain buoyant; Sensex up 94 pts
20091107,Sensex; Nifty bounced by 2% over the week
20091109,Sensex rises 107 points in opening trade
20091109,Sensex soars 340 points on hopes of financial reforms
20091109,Sensex soars 340 points to close at 16;498.72
20091110,Sensex turns weak at midsession; down over 79 pts
20091110,Sensex snaps four-day rally to end lower 58 points
20091110,Sensex snaps four-day rally to end lower 58 points
20091112,Nifty breaches 5000 mark; sensex gains 409
20091112,Sensex opens higher; then slips 49 pts
20091112,Sensex down 154 points on profit-booking
20091112,Sensex down 154 points on profit-booking
20091113,Sensex open higher in morning trade
20091113,Sensex bounces back to post 153-point gain
20091113,Sensex bounces back to post 153-point gain
20091114,Sensex soars 10% in November as dollar slides
20091114,Sensex soars 10% in November as dollar slides
20091116,Gap-up opening for equities; Sensex above 17;000
20091116,Foreign funds pull Sensex above 17;000
20091116,Foreign funds pull Sensex above 17;000
20091117,Sensex up 47 points in opening trade
20091117,Sensex ends flat after day of lows
20091117,Sensex ends flat after day of lows
20091118,Sensex down to 16;998 on profit booking
20091119,Sensex down 70 pts in early trade on Asian cues
20091119,Sensex loses over 200 pts at closing
20091119,Sensex loses over 200 pts at closing
20091120,Sensex makes comeback to post 236-pt gain
20091120,Sensex posts 236-point gain
20091123,Sensex extends gains for second day; up 158 pts
20091123,Sensex extends gains for second day; up 158 pts
20091124,Sensex ends marginally lower by 49 pts
20091125,Sensex companies' earnings rise 7.2% in Q2
20091125,Sensex closes 68 points up
20091125,Sensex closes 68 points up
20091126,Sensex down 344 points on heavy selling
20091127,Sensex fails to hold on to 17000; slips again
20091127,Sensex tumbles by 223 pts on Dubai debt worries
20091127,S&P; Moody's downgrade 5 Dubai govt entities
20091127,Sensex tumbles by 223 pts on Dubai debt worries
20091128,After wild swing; sensex recovers by 422 points
20091128,Sensex; Nifty down by over 2% breaking a string of three-week rally
20091128,Sensex; Nifty down by over 2% breaking a string of three-week rally
20091130,Sensex rebounds; up 295 points in opening trade
20091130,Sensex soars on robust Q2 data
20091201,Sensex weathers desert storm
20091201,Sensex crosses 17;000 on strong global cues
20091201,Sensex rally continues; regains 17;200-mark
20091201,Sensex rally continues; regains 17;200-mark
20091202,Sensex up 131 points on global cues
20091202,Sensex closes 28 points down in choppy trade
20091203,Markets choppy; Sensex ends flat
20091204,Sensex slips on opening; recovers partially
20091204,Sensex back in positive zone; up 72 points
20091204,Auto; bank lead Sensex fall
20091207,Sensex may hit 21;000 jackpot in 2011
20091208,Sensex back in 17000 region; RIL up 2%
20091209,Sensex down 102 points
20091209,Sensex down 102 points
20091210,Sensex down 66 pts in early trade on weak Asian cues
20091210,Sensex closes up by 64 pts; Airtel biggest gainer at 3.43%
20091211,Sensex closes 70 points lower
20091211,Sensex closes 70 points lower
20091214,Sensex up 105 pts in early trade
20091215,Sensex up 103 points in early trade
20091215,Sensex loses 220 points; closes below 17000
20091215,Sensex loses 220 points; closes below 17000
20091216,Sensex down 67 pts in early trade
20091216,Sensex breaks two-day fall; up 35 pts
20091217,Sensex down 63 points in opening trade on global cues
20091217,Mkts fail to sustain momentum; Sensex down 18 points
20091218,Sensex down 80 points in early trade on weak global cues
20091218,Sensex posts worst weekly fall since end Oct
20091219,Sensex falls nearly 400 pts during the week
20091219,Sensex set for slower rise in 2010
20091221,MFs that outperformed Sensex over 5 years
20091221,Sensex erases early gains; falls by 97 pts
20091221,Sensex slips to six-week-low on selling pressure
20091221,Sensex; Nifty end in red
20091222,Sensex up 110 points on global cues
20091222,Sensex recovers from six-week lows
20091222,Sensex recovers from six-week lows
20091223,Sensex closes at two-month high of 17;231.11
20091223,Sensex closes at two-month high of 17;231.11
20091224,Sensex rises 539 pts on FII push
20091224,Sensex gains 116 points in opening trade
20091224,Markets at 19-month high; Sensex gains 130 pts
20091224,Markets at 19-month high; Sensex gains 130 points
20091229,Sensex up 41 points to complete four-day rally
20091229,S&P assigns 'stable' outlook to IOC; affirms 'BB+' rating
20091230,Sensex snaps four-day rally; sheds 58 pts
20091230,Sensex closes 58 pts lower
20091230,Sensex closes 58 points lower
20091231,Sensex up 121 pts; ends 09 with biggest annual gain in 18 yrs
20091231,Sensex ends '09 with biggest annual gain in 18 yrs
20100101,Sensex ends 2009 on new high
20100103,Experts bullish on 2010 stock market; see Sensex at 21K
20100103,Experts see Sensex at 21K in 2010
20100104,Positive start to 2010; Sensex up 94 pts
20100104,Positive start to 2010; Sensex up 94 pts
20100105,Sensex closes at a 23-month high of 17686
20100105,Sensex closes at 23-month high of 17686
20100105,Sensex closes at 23-month high of 17686
20100106,Sensex gains 104 points in opening trade on firm Asian cues
20100106,Sensex closes 15 points up; maintains 23-month high
20100106,Sensex closes 15 points up; maintains 23-month high
20100107,Sensex sheds 40 points in early trade on profit-taking
20100107,Markets snap 4-day rally on rupee worries; Sensex falls 85 pts
20100107,Markets snap 4-day rally on rupee worries; Sensex falls 85 pts
20100108,Sensex eases by 10 pts amid volatile market
20100108,Rupee spooks markets again; Sensex sheds 75 points
20100108,Rupee spooks markets again; Sensex sheds 75 points
20100108,Rupee spooks mkts again; Sensex sheds 75 points
20100111,Sensex surges 236 pts in opening trade on Asian cues
20100111,Sensex ends flat on profit booking
20100112,Sensex up 74 points
20100112,Sensex down for 4th day;realty; bank stocks worst hit
20100112,Sensex down for 4th day;realty; bank stocks worst hit
20100113,Sensex down 146 pts in early trade on Asian cues
20100114,Sensex up 113 points in opening trade
20100114,Sensex gains for second day on better ADB outlook
20100115,Sensex up 55 points in early trade
20100115,Sensex ends 31 points down
20100118,Led by banks & PSUs; Sensex gains 87 pts
20100118,Led by banks & PSUs; Sensex gains 87 pts
20100119,Sensex sheds 155 pts on European inflation fears
20100120,Sensex up over 104 points in opening trade
20100120,Sensex ends flat; ONGC; Wipro among losers
20100120,Sensex ends flat; ONGC among losers
20100121,Sensex down 104 points in early trade
20100121,Sensex falls on rising food prices; Nifty break 5;200 level
20100121,Sensex plunges 423 pts; Nifty slips below 5;100 level
20100122,Sensex tanks 423 on FII selling
20100122,Sensex nosedives below 17k level; Nifty below 5k points
20100122,RIL helps markets from a heavy fall;Sensex closes 191 pts down
20100122,Sensex closes 191 pts down
20100123,Sensex closes below 17k mark; sheds 191 points
20100123,Sensex snaps 4-week winning streak; drops below 17;000-level
20100123,Sensex snaps 4-week winning streak
20100125,Sensex down 115 pts in opening trade on global cues
20100127,Sensex falls 188 points on weak global cues
20100127,Sensex tanks 491 points on panic selling
20100127,Sensex plunges 491 points on panic selling
20100127,Sensex plunges 491 points on panic selling
20100128,Sensex tanks 491 on global cues
20100128,Sensex gains 203 points in opening trade on global cues
20100128,Sensex dip hits stock broker; commits suicide
20100129,Sensex remains volatile as brokers; investors await cue from RBI
20100129,Sensex below 16;000 on RBI hiking CRR
20100130,Sensex tumbles by another 3% during the week
20100201,Sensex opens lower by 175 points
20100202,Sensex opens higher by 170 points
20100202,29 out of 30 Sensex cos see 20% growth in Q3
20100203,Sensex surges 364 points at midsession
20100203,Global cues drive up Sensex 333pts; metals; realty rally
20100203,Global cues drive up Sensex 333 pts
20100204,Sensex up 333 on metal; realty rally
20100204,Sensex slips 271 points led by realty; metals
20100205,Sensex tanks 434 points on global cues
20100205,Sensex tanks 434 points; below 16;000
20100205,Global worries bleed mkts; Sensex crashes below 16k
20100206,EU debt worry batters sensex
20100206,Sensex up 125 pts in special session
20100208,Sensex fails to regain 16000-mark; ends in green
20100208,Sensex fails to regain 16000-mark; ends in green
20100209,Sensex regains 16000-mark; IT; PSUs rally
20100209,Sensex regains 16000-mark; IT; PSUs rally
20100210,Sensex drops 54 points after good start in early trade
20100210,Sensex loses 120 points on closing
20100210,Sensex loses 120 points on closing
20100211,Sensex above 16000; Nifty regains 4800-mark
20100211,Sensex above 16000; Nifty regains 4800-mark
20100215,Sensex opens higher on investment buying
20100216,Sensex gains 97 points in early trade on Asian cues
20100216,Sensex ends 188 points higher
20100217,Sensex surges 214 points in opening trade on global cues
20100217,Sensex closes 202 points up
20100217,Sensex may drop to 12K level
20100217,Sensex may drop to 12K level: Shankar Sharma
20100219,Sensex down 173 points on Asian cues
20100219,S&P becomes positive on Infosys
20100219,Sensex ends 136 points down
20100222,Sensex ends almost flat on profit booking
20100223,Sensex down 58 points on Asian cues
20100223,Sensex closes 49 points up
20100224,Sensex falls 99 points on weak global cues
20100224,Sensex ends moderately lower
20100225,Sensex ends flat on Budget blues
20100225,Sensex ends flat on Budget blues
20100226,Sensex rises 74 points in opening trade on Asian cues
20100226,Sensex surges over 350 pts on direct tax sops
20100302,Sensex surges 243 points in opening trade on global cues
20100303,Post-Budget; sensex up 343 points; Nifty above 5k
20100303,Sensex regains 17k level after six weeks
20100303,Sensex regains 17k level after six weeks
20100303,Budget; Reliance take Sensex to 17K level
20100304,Sensex regains 17k; up 227 on FII buying
20100304,Sensex retakes 17K; but FIIs play safe
20100304,Sensex drops by 28 pts on inflation concerns
20100305,Sensex up 124 pts; Nifty regains 5;100-level in opening trade
20100305,Sensex ends flat; broader markets see gains
20100308,Sensex surges 193 points in opening trade on firm Asian mkts
20100308,Sensex ends 108 points up
20100309,Sensex falls over 41 points on profit taking
20100309,BSE launches Sensex mobile streamer
20100309,Sensex ends 50 pts down;investors cautious ahead of NMDC FPO
20100309,Sensex ends 50 pts down;investors cautious ahead of NMDC FPO
20100310,Sensex rises 44 points in opening trade on firm Asian markets
20100310,Sensex closes flat
20100310,NSE to tie up with S&P 500
20100311,Now buy Dow; S&P 500 indices on NSE
20100311,Sensex falls by 38 points in early trade
20100311,Sensex gains 70 pts in volatile trade
20100312,Sensex up 77 points on global cues
20100312,Sensex ends 134 points down
20100312,Sensex ends 134 points down
20100315,Sensex down 77 points on weak Asian cues
20100315,Sensex ends flat; ABB; M&M; Suzlon Energy down
20100315,Sensex ends flat as inflation rises to 16-month high
20100315,Sensex ends flat as inflation rises to 16-month high
20100316,Sensex rises by 48 points in opening trade on global cues
20100316,Sensex soars 218 pts to close at eight-week high
20100316,Sensex soars 218 pts to close at eight-week high
20100317,Sensex soars 218 points
20100317,Sensex surges 118 points in opening trade on global cues
20100317,Sensex closes 107 points up
20100318,Sensex rises by 54pts in early trade on global cues
20100318,Sensex rises for third straight day; Infosys led upsurge
20100318,Sensex rises for third straight day; Infosys led upsurge
20100319,S&P ups India's outlook to stable
20100319,Sensex up 44 points in early trade
20100319,Sensex gains for fourth day; up by 59 points
20100319,Sensex gains for fourth day; up by 59 points
20100321,7 of top 10 Sensex cos add Rs 42k cr to m-cap; RIL gains most
20100321,7 of top 10 Sensex cos add Rs 42k cr to m-cap; RIL gains most
20100322,Sensex falls by 167 pts on interest rate concerns
20100322,Sensex falls by 167 pts on interest rate concerns
20100323,Rate hike fears: Sensex dips 168 pts
20100323,Sensex closes up 40 points after minimising early gains
20100323,Sensex closes up 40 points after minimising early gains
20100325,Sensex up 107 points; Airtel gains 2.27 per cent
20100325,Sensex up 107 points; Airtel gains 2.27 per cent
20100326,Sensex up 80 points on Asian cues
20100326,Sensex gains 86 points to close at 2-month high
20100326,Sensex gains 86 points to close at 2-month high
20100329,Sensex up 80 points in opening trade on Asian cues
20100329,Sensex surges to two-year high of 17;711 points
20100329,Sensex surges to two-year high of 17;711 points
20100330,Sensex up 71 points in early trade on global cues
20100330,Sensex sheds 121 points
20100330,Sensex sheds 121 points
20100331,Sensex sheds 57 points on selling
20100331,Sensex closes 62 points down
20100401,Sensex opens higher by 125 pts on Asian cues
20100401,Sensex ends at 17700; TCS; Tata Steel; HDFC up
20100403,Sensex extends weekly gains for 8th week; closes up 48 pts
20100405,Sensex soars to two-year high of 17;935
20100405,Sensex soars to two-year high of 17;935
20100406,Sensex; rupee on a roll; may slip on oil
20100406,Sensex nears 18k; vaults 243 points
20100406,Sensex ends flat after touching 18000
20100406,Sensex ends flat after touching 18;000
20100407,Sensex touches 18;000-mark; ends 29 points higher
20100407,Sensex closes below 18;000
20100407,Sensex touches 18;000-mark after two years; ends 29 points higher
20100408,Sensex breaches 18000 after over 25 months
20100408,18000: Equity MFs beat sensex
20100408,Sensex falls over 34 points on weak global cues
20100408,Sensex falls from two-year high; drops 250 points
20100408,Sensex drops 250 pts from 2-yr high
20100409,Inflation; Greece crisis pull sensex down by 256
20100409,Sensex up 218 pts; closes at 17;933.14
20100412,Sensex opens over 62 points up on global cues
20100412,Sensex loses 80 pts amid row between regulators
20100412,Sensex loses 80 pts amid row between regulators
20100413,Sensex down 78 points on weak Asian cues
20100413,Sensex closes 31 points lower
20100413,Sensex closes 31 points lower
20100415,Sensex rises 153 points on global cues
20100415,Sensex plunges to 2-week low on borrowing cost concerns
20100415,Sensex plunges to 2-week low on borrowing cost concerns
20100416,Bond yields soften but sensex tanks
20100416,Sensex down 90 points in early trade on rate hike fears
20100416,Sensex down 48 points on interest rate concerns
20100416,Sensex down 48 points on interest rate concerns
20100419,Sensex down 244 points on weak global cues
20100419,Sensex tumbles on Goldman; rate hike worries
20100419,Sensex tumbles on Goldman; rate hike worries
20100420,Sensex slips 191 pts on global cues; RBI move
20100420,Sensex up 94 points on global cues
20100420,Sensex up 150 points after RBI rejigs key rates
20100420,Sensex rebounds by 60 pts on less-than-expected rate hike
20100420,Sensex rebounds by 60 pts on less-than-expected rate hike
20100421,Sensex opens 95 points up on global cues
20100421,Sensex ends flat as profit-booking erase early gains
20100421,Sensex to scale 19;000-mark in June; says JP Morgan survey
20100422,Sensex surges 101 points; SBI gains most in 5 months
20100423,Sensex rises 101 points
20100423,Sensex surges 119 points in opening trade
20100423,Sensex gains 120 points; Nifty regains 5;300-mark
20100426,Sensex surges 132 points in opening trade
20100426,Sensex closes 51 points up
20100427,Sensex 62 points down in opening trade
20100427,Sensex snaps 5-day rally; closes 55 points down
20100428,Global mkts in a tizzy as S&P junks Greece
20100428,Sensex tanks 229 pts in early trade
20100428,Sensex tumbles over 300 points
20100428,Sensex tumbles over 300 points on global cues
20100428,Sensex investors lose Rs 41;000cr in a day
20100428,Sensex tumbles over 300 points
20100429,Now; S&P downgrades Spain
20100429,Sensex tanks on Greece crisis
20100429,Sensex up by 123 points; banks; Reliance lead
20100429,Sensex rebounds as domestic growth intact
20100430,Sensex rebounds; up 123 on global recovery
20100430,Sensex closes up 55 points
20100430,Sensex closes up 55 points
20100503,Sensex opens 140 points down on profit booking
20100503,Sensex falls 172pts as Greece debt woes return to haunt mkt
20100503,Sensex falls 172 pts as Greece debt woes return to haunt mkt
20100504,Sensex recovers 79 pts in opening trade on funds buying
20100504,Sensex falls 249 pts; closes at near two-month low
20100504,Sensex falls 249 pts; closes at near two-month low
20100505,Sensex dips 249; at 8-week low
20100505,Sensex tanks 268 pts on Greece debt concerns
20100505,Sensex falls 49 pts on euro zone financial worries
20100506,Sensex recovers fast as European stocks rebound
20100506,Sensex tumbles further on weak global cues
20100506,Sensex ends below 17;000 on Europe debt crisis
20100506,Sensex ends below 17;000 on Europe debt crisis
20100507,Sensex dips below 17k on Eurozone debt fears
20100507,Sensex tanks 267 points; RIL down; RNRL gains in early trade
20100507,S&P revises Wipro; Infosys outlook
20100507,Sensex tumbles to two-month low on European woes
20100507,Sensex tumbles to two-month low on European woes
20100507,S&P revises Wipro; Infosys outlook
20100509,Prolonged debt crisis in Europe could impact India: S&P
20100510,May curse returns to hit sensex
20100510,May curse returns to hit Sensex; market loses 800 pts this month
20100510,Sensex up 260 points on Asian cues
20100510,Sensex surges 450 points on funds buying
20100510,Sensex gains 561 points after IMF emergency aid to Greece
20100510,Sensex gains 561 points after IMF emergency aid to Greece
20100511,Housing finance cos beat Sensex in returns
20100511,Sensex sheds 189 points on profit booking
20100511,Sensex sheds 189 points on profit booking
20100512,Euphoria short-lived; sensex dips 189 points
20100512,Sensex erases early gains on profit selling
20100512,Sensex advances 54 points after double-digit industrial growth
20100513,Sensex surges 191 pts in opening trade on funds buying
20100513,Realty; auto drive Sensex up 70 points
20100514,Sensex 62 pts down in opening trade on profit-taking
20100514,Sensex erases early losses; up 46 points
20100514,Sensex plunges 271 points; SBI drops 4%
20100514,Sensex ends below 17K on Eurozone debt fears
20100517,Sensex below 15;300 would enter bear market
20100517,Sensex opens over 300 points down on European debt concerns
20100518,Sensex down 159 points on Eurozone crisis
20100518,Sensex opens 73 points lower on selective selling
20100518,Sensex up 40 pts on global cues
20100518,Sensex up 40 pts on global cues
20100519,Sensex down 231 points in opening trade
20100519,Sensex tumbles 467 points on Euro zone crisis
20100519,Sensex tumbles 467 points on Euro zone crisis
20100520,Sensex plunges 467 on weak global sentiment
20100520,Sensex rebounds; up 165 pts in opening trade
20100520,Sensex closes 111 points up; ONGC gains 9%
20100520,Sensex closes 111 points up; ONGC gains 9%
20100521,Sensex rises 111 points
20100521,Sensex slips over 332 points in opening trade
20100521,Sensex closes 74 points down
20100522,Sensex loses 3.2% in week on euro woes; FII outflows
20100524,Sensex up 280 points on Ambani brothers peace pact
20100524,Sensex to cross 18K-level by year-end: Citigroup
20100525,Sensex down 225 points in opening trade
20100525,Sensex falls below 16;000 mark as FIIs flee
20100525,Sensex falls below 16;000 mark
20100526,Sensex rebounds; up 232 pts in opening trade
20100526,Sensex rebounds; ends 365 points up
20100527,Sensex rebounds; rises 365 pts
20100527,Sensex 56 points down in opening trade on profit booking
20100527,Sensex climbs 278 points; Tata Motors jumps 4.74%
20100528,Sensex up 279 pts despite Eurozone woes; FII selling
20100528,Sensex up 204 points in opening trade on funds buying
20100529,Sensex keeps on surging; rises 197 pts
20100531,Sensex gains 81 pts on higher GDP
20100601,Sensex tanks 373 pts on world economic growth worries
20100601,Sensex closes 373 pts lower
20100601,Sensex closes 373 pts lower
20100602,Sensex tanks 373 points on Eurozone fears
20100602,Sensex rebounds; up 106 points in opening trade
20100602,Sensex volatile; RCom; ONGC; Bharti; RInfra gain
20100602,Auto stocks drive Sensex up by 170 points
20100602,Auto stocks drive Sensex up by 170 pts
20100603,Sensex positive on firm global cues
20100603,Sensex regains 17k level at noon
20100603,Sensex regains 17000 level as banking; refinery stocks rally
20100603,Sensex above 17000; banking stocks up
20100604,Sensex opens negative on Asian cues
20100604,Sensex gains 95 points led by FMCG; auto
20100604,Sensex moves up amid volatile trade
20100605,Sensex logs 2nd weekly gain; India pips peers
20100607,Sensex closes 337 points down
20100607,Sensex closes 337 points down
20100608,Sensex closes 164 pts lower
20100608,Sensex closes 164 pts lower
20100609,Sensex slips 164 points
20100609,Sensex up 66 pts in opening trade
20100609,Sensex closes 41 points higher
20100610,Sensex rises 95 pts on funds buying
20100610,Sensex ends 264 points up at close
20100611,Sensex leaps 264 points
20100611,Sensex up 185 points in opening trade
20100611,Sensex closes above 17K region
20100611,Sensex closes above 17K region
20100612,Citigroup sells stake in 6 Sensex cos for Rs 109 cr
20100614,IT stocks; RIL drive Sensex to one-month high
20100614,IT stocks; RIL drive Sensex to one-month high
20100614,IT stocks; RIL drive Sensex to one-month high
20100615,Sensex up 273 pts on global cues
20100615,Sensex closes 74 pts up
20100615,Sensex closes 74 pts up
20100616,Sensex gains further ground on bullish global trend
20100617,Sensex closes 154 points up
20100618,Sensex rises by 57 points in early trade
20100618,RIL pulls down markets; Sensex ends 45 points lower
20100621,Sensex rises 306 pts to two-month high
20100622,Yuan push: Sensex rises 306 points
20100622,Sensex falls by 127 pts on profit-booking; global cues
20100624,Sensex loses 25 pts on inflation concerns
20100625,Sensex ends 155 points lower on weak global cues
20100625,Sensex ends 155 points lower on weak global cues
20100626,Sensex dips 156 points
20100628,Sensex closes 196 points up
20100629,RCOM; GTL rally; sensex up 200
20100629,Sensex closes 239 points down
20100630,Sensex slides 240 pts on fresh Eurozone fears
20100630,Sensex ends 167 points higher in volatile trade
20100701,Sensex up for 6th quarter in a row
20100701,Sensex down 172 points in opening trade
20100701,Sensex tumbles over 191 pts on weakening global trend
20100702,Sensex positive on firm Asian cues
20100702,Markets down for 2nd day; Sensex dips 48 points
20100702,Markets down for 2nd day; Sensex dips 48 points
20100705,Sensex down on selling pressure
20100705,Sensex ends flat; volumes fall
20100706,Sensex closes 153 points higher
20100707,Sensex opens lower by 55pts
20100707,Global cues; rate hike fears push Sensex down by 143 pts
20100708,Sensex loses 143 points
20100708,Sensex recovers to close 180 pts higher
20100709,Sensex 2010 may be a quiet show
20100709,Sensex opens 155 pts up on strong global cues
20100709,Telecom stocks hog limelight; push Sensex up 182 points
20100712,Sensex touches 18000; closes just short
20100712,Sensex touches 18000; closes just short
20100713,In 3 mths; sensex kisses 18k again
20100713,Sensex closes 48 points up; Infosys down over 3%
20100713,Sensex closes 48 points up; Infosys down over 3%
20100714,Sensex opens 181 points up on strong global cues
20100714,Sensex above 18000; metals lead the way
20100714,Sensex snaps 4-day gaining streak; ends 48 pts down
20100715,Sensex up 40 points in opening trade
20100715,Sensex sheds 29 points in choppy trade
20100715,Sensex sheds 29 points in choppy trade
20100716,Sensex recovers 41 pts in opening trade; TCS leads rally
20100716,Sensex closes 46 points up
20100716,TCS drives Sensex by 46 points
20100716,Sensex closes 46 points up
20100719,Sensex recovers 49 pts on funds buying
20100719,Sensex ends 27 points lower in choppy trade
20100719,Sensex ends lower in choppy trade
20100719,Sensex ends 27 points lower in choppy trade
20100720,Sensex ends 50 pts down amid weak global trend
20100720,Sensex opens 112 points up
20100722,Sensex surges 136 points to end over 18k level
20100722,Sensex closes highest in over 2 years
20100723,Sensex gains 136 pts; closes over 18k mark
20100723,Sensex closes 18 points up in choppy trade
20100726,Sensex opens firm on Asian cues
20100727,Sensex gains 76 points as RBI policy matches expectations
20100727,Sensex rebounds by 57pts as RBI policy matches expectations
20100727,Sensex ends 57pts up on RBI policy
20100728,Sensex opens 59 points up on strong global cues
20100728,Sensex closes 124 points lower; RIL; L&T drag
20100729,Sensex loses 120 pts; slips below 18000
20100729,Sensex ruling flat amid tardy global cues
20100729,Sensex up 35 pts; RIL down for second day
20100730,Sensex opens 79 pts low on ONGC; Honda poor quarterly earnings
20100730,Sensex subdued; Asian cues negative
20100802,Sensex jumps 171 points in opening trade
20100802,Sensex above 18000; Bharti; ICICI; SBI up
20100802,Sensex closes close to intra-day high
20100803,Sensex rises 213 on bank stocks
20100803,Sensex opens 86 points higher on global cues
20100804,Sensex up 57 points in opening trade
20100804,Sensex rises to highest level since Feb 2008
20100804,TCS drives Sensex to 30-month high
20100804,Sensex rises to highest level since Feb 2008
20100804,Sensex rises to highest level since Feb 2008
20100805,Sensex rises 103 points; touches 30-month high
20100805,Sensex opens 65 points up on strong global cues
20100805,Sensex closes 44 pts down
20100805,Sensex closes 44 points down
20100806,Sensex opens 33 points higher
20100806,Sensex opens 33 points higher
20100806,Sensex 29 pts down on US jobless data
20100807,Sensex closes week up by 276 pts
20100809,Sensex rises by 44 points in early trade
20100809,Sensex closes 143 points up
20100810,Sensex opens 56 pts down on profit-taking
20100810,Sensex opens 56 pts down
20100810,Slowdown in China trade spooks global mkts; Sensex down 67 pts
20100811,Sensex gains 44 points in early trade
20100811,Sensex down on global economy concerns
20100811,Sensex down 150 pts on negative global cues; IT leads fall
20100811,Sensex down 150 pts on negative global cues; IT leads fall
20100812,Sensex dips below 18;000 pts in opening trade
20100812,Sensex closes flat as SBI caps losses
20100812,Sensex closes flat as SBI caps losses
20100813,Sensex opens higher on buying by funds
20100813,Sensex slips in last session; off day's highs
20100813,Sensex slips in last session; off day's highs
20100816,Sensex rebounds at noon on buying by funds
20100816,Sensex falls by 116 points on weak global cues
20100816,Sensex falls by 116 points on weak global cues
20100816,Sensex falls by 116 points on weak global cues; closes above 18;000
20100817,Sensex opens 81 points higher in early trade
20100817,Sensex ends flat in choppy trade
20100817,Sensex ends flat in choppy trade
20100817,Sensex ends flat in choppy trade ; closes just above 18000
20100818,Sensex up 208 points on better US factory output
20100818,Sensex up 208 points on better US factory output
20100819,Sensex at new 30-month high; up 198pts
20100819,Sensex jumps nearly 200 pts to close at over two-year high
20100820,Sensex sheds 53 points on profit-booking
20100820,Sensex sheds 53pts on profit-booking
20100823,Sensex opens 43 pts higher on buying by funds
20100823,Sensex ends flat in range-bound trade
20100824,Sensex gains on fresh buying
20100824,Sensex declines by 51 pts on mild selling
20100824,Sensex down 98 points on closing
20100826,Sensex dips 132 pts on global cues
20100826,Sensex rebounds; up 69 points in opening trade
20100827,Sensex rules steady after initial losses
20100827,Sensex ends below 18K level
20100827,Sensex ends below 18K level
20100827,Sensex ends below 18000 amid heavy selling
20100830,Sensex surges 218 pts on firm Asian market cues
20100830,Sensex closes 34 pts up amid fears taxes could go up
20100830,Sensex closes 34 points up amid fears taxes could go up
20100831,Sensex sheds 171 pts despite impressive GDP numbers
20100831,Sensex down 61 pts on global cues
20100831,Sensex down 61 pts on global cues; RIL posts major losses
20100901,Sensex gains 235 points on better growth; high export
20100901,Sensex gains 235 points on better growth; high export
20100902,India-focused funds give higher returns than Sensex
20100902,Sensex jumps 150 points in opening trade on funds buying
20100902,Sensex ends 32 pts up as profit-booking pares initial gains
20100902,Sensex ends 32 pts up as profit-booking pares initial gains
20100903,Sensex up 78 points in opening trade
20100903,Sensex closes 29 points down over RBI rate hike fears
20100906,Sensex rises on strong Asian cues
20100906,Sensex spurts 338 points to 31-month high
20100906,Sensex on 31-month high; up 338 pts
20100906,Sensex on 31-month high; up 338 pts
20100906,Sensex touches 31-month high; up 338 points
20100907,Sensex gains 339 pts; touches 30-mth high
20100907,Bullion beats Sensex; silver outshines gold in 2010
20100907,Sensex gains on buying by funds
20100907,Sensex rises by 85 points to fresh 31-month high
20100907,Sensex rises by 85 points to fresh 31-month high
20100908,Infosys helps Sensex end 22 points higher
20100908,Infosys helps Sensex end 22 points higher; Nifty gains marginally
20100909,Sensex ends 133 points up
20100909,Sensex gains 120 points; banks in limelight
20100913,Sensex crosses 19000 after 32 months
20100913,Market boom? Sensex crosses 19000-mark after 32 months
20100913,Sensex crosses 19000-mark after 32 months
20100913,Sensex zooms 409 points; regains 19K level
20100913,Sensex closes 408 points higher
20100913,Sensex could reach 20;000 by month end
20100914,Sensex zooms past 19;000 again
20100914,Sensex at fresh 32-month high; up 139 pts
20100914,Sensex at fresh 32-month high; up 139 ptson fresh capital inflow
20100914,In just six sessions; Sensex surges 1;100 points
20100915,Sensex surges by 138 points in opening trade
20100915,Sensex closes 155 pts higher
20100915,Sensex up seventh day in succession; closes 155 pts higher
20100916,Markets snaps 7-day rally; Sensex down 85 pts
20100916,Sensex ends in negative zone'
20100917,Sensex rebounds; up 197 points
20100917,Sensex bounces back by 177 pts to fresh 32-month high
20100917,Sensex rebounds to 32-month high
20100918,Sensex ends day with 800 pts gain for week
20100920,Sensex up 98 points in early trade
20100920,Sensex up 311 points on FIIs buying
