date,headline
20031220,Sensex at 5;541 pts
20031220,Sensex surges; scales 5;500 mark
20031220,Sensex soars on festive spirit
20031220,Sensex sky-high? Not yet; say bulls
20031223,Sensex at 5;578 pts
20031223,Sensex at 45-month peak
20031224,Sensex at 5;564 pts
20031225,Nifty at all-time high; Sensex gains
20031229,Will Sensex cross 6;000?
20031230,Sensex weak; down 5 pts
20040102,Sensex begins New Year with good gains
20040103,Sensex closes at all-time high of 6;026 pts
20040103,Sensex at 6;027 pts
20040108,Sebi buoys Sensex past 6000
20040109,Sensex roars to all-time high
20040115,Sensex at 6;194 pts
20040116,Sensex loses further ground on selling spree
20040116,Sensex at 5;946 pts
20040120,Sensex tumbles on profit booking
20040122,Mayhem: Sensex loses 306 points in two days
20040128,Sensex sheds 40 points
20040129,Sensex swing continues; falls 117 pts
20040203,Interim budget: No show dims Sensex appeal
20040204,Sensex at 5;757 pts
20040205,Sensex rebounds by 136 points
20040206,Sensex dips; Bharti in demand
20040206,Sensex zooms 66 points at close
20040209,Sensex closes 140 points up
20040210,Growth forecast pushes Sensex 2.4 pc
20040210,Markets close; Sensex up 6 pts
20040212,Sensex slides further down
20040212,Sensex closes 21 points down
20040213,Don't go overboard on bullish sensex; warn stock brokers
20040213,Sensex up marginally on opening
20040213,Sensex moves further north
20040213,Sensex closes with gains
20040214,Sensex up; ends at 6;012 pts
20040216,Sensex steady; bank shares gain
20040216,Sensex fluctuates; biggies shine
20040216,Heavyweights pull Sensex down
20040217,Sensex steady; HLL loses ground
20040217,HLL fails to fire up Sensex
20040219,Sensex in free fall; down 172 pts
20040220,Sensex slides; auto scrips skid
20040224,Public offers hammer Sensex down 2.6 pc
20040224,Sensex down; VSNL up 4 pc
20040224,Sensex recovers after volatile day
20040226,Sensex recovers; tech stocks up
20040226,Sensex dips 51 points at close
20040227,Sensex recovers in volatile market
20040228,Sensex bounces back; up 1.9%
20040301,Sensex steady; auto shares up
20040301,Sensex closes 155 points up
20040303,Old Economy pushes Sensex up
20040303,Sensex closes 19 points up
20040308,Sensex up; oil stocks on a roll
20040308,Sensex closes 50 points up
20040309,Sensex closes 96 points down
20040312,Sensex down on low sentiment
20040312,Sensex down; cement scrips lose
20040312,Sensex closes 50 points up
20040315,Sensex closes 174 points down
20040316,Sensex dives; investors lose Rs 37;000 cr
20040318,Sensex tumbles 133 points
